15/2/2018 14:43:10 - #Bodies: 2, Timestep: 1.25e-06, CPU Time: 10.5942s
15/2/2018 14:43:28 - #Bodies: 2, Timestep: 6.25e-07, CPU Time: 24.3699s
15/2/2018 14:44:09 - #Bodies: 2, Timestep: 3.125e-07, CPU Time: 54.0671s
15/2/2018 14:44:45 - #Bodies: 2, Timestep: 1e-05, CPU Time: 0.697366s
15/2/2018 14:44:47 - #Bodies: 2, Timestep: 5e-06, CPU Time: 2.16418s
15/2/2018 14:44:50 - #Bodies: 2, Timestep: 2.5e-06, CPU Time: 5.21515s
15/2/2018 14:45:01 - #Bodies: 2, Timestep: 1e-05, CPU Time: 0.021229s
15/2/2018 14:45:01 - #Bodies: 2, Timestep: 5e-06, CPU Time: 0.062236s
15/2/2018 14:45:01 - #Bodies: 2, Timestep: 2.5e-06, CPU Time: 0.133939s
15/2/2018 14:45:01 - #Bodies: 2, Timestep: 1.25e-06, CPU Time: 0.270855s
15/2/2018 14:45:01 - #Bodies: 2, Timestep: 6.25e-07, CPU Time: 0.559881s
15/2/2018 14:45:02 - #Bodies: 2, Timestep: 3.125e-07, CPU Time: 1.21048s
15/2/2018 14:45:03 - #Bodies: 2, Timestep: 1.5625e-07, CPU Time: 2.50996s
15/2/2018 14:45:07 - #Bodies: 2, Timestep: 7.8125e-08, CPU Time: 5.82439s
15/2/2018 14:45:23 - #Bodies: 2, Timestep: 1e-05, CPU Time: 4.56866s
15/2/2018 14:45:24 - #Bodies: 2, Timestep: 5e-06, CPU Time: 5.35499s
15/2/2018 14:45:25 - #Bodies: 2, Timestep: 2.5e-06, CPU Time: 6.91937s
15/2/2018 14:45:29 - #Bodies: 2, Timestep: 1.25e-06, CPU Time: 10.2068s
15/2/2018 14:45:29 - #Bodies: 2, Timestep: 6.25e-07, CPU Time: 10.9932s
15/2/2018 14:45:32 - #Bodies: 2, Timestep: 3.125e-07, CPU Time: 13.0091s
15/2/2018 14:45:36 - #Bodies: 2, Timestep: 1.5625e-07, CPU Time: 17.0669s
15/2/2018 14:45:39 - #Bodies: 2, Timestep: 7.8125e-08, CPU Time: 20.4416s
15/2/2018 14:45:46 - #Bodies: 2, Timestep: 3.90625e-08, CPU Time: 26.8506s
15/2/2018 14:46:00 - #Bodies: 2, Timestep: 1.95313e-08, CPU Time: 40.4662s
15/2/2018 14:46:34 - #Bodies: 2, Timestep: 9.76563e-09, CPU Time: 66.2584s
15/2/2018 14:46:48 - #Bodies: 2, Timestep: 1e-05, CPU Time: 2.13204s
15/2/2018 14:46:52 - #Bodies: 2, Timestep: 5e-06, CPU Time: 6.29273s
15/2/2018 14:46:53 - #Bodies: 2, Timestep: 2.5e-06, CPU Time: 7.14335s
15/2/2018 14:46:55 - #Bodies: 2, Timestep: 1.25e-06, CPU Time: 8.79637s
15/2/2018 14:46:59 - #Bodies: 2, Timestep: 6.25e-07, CPU Time: 12.3915s
15/2/2018 14:47:00 - #Bodies: 2, Timestep: 3.125e-07, CPU Time: 13.3484s
15/2/2018 14:47:03 - #Bodies: 2, Timestep: 1.5625e-07, CPU Time: 16.0654s
15/2/2018 14:47:08 - #Bodies: 2, Timestep: 7.8125e-08, CPU Time: 21.4875s
15/2/2018 14:47:14 - #Bodies: 2, Timestep: 3.90625e-08, CPU Time: 27.1458s
15/2/2018 14:47:27 - #Bodies: 2, Timestep: 1.95313e-08, CPU Time: 39.9181s
15/2/2018 14:47:52 - #Bodies: 2, Timestep: 9.76563e-09, CPU Time: 63.9459s
15/2/2018 14:52:12 - #Bodies: 2, Timestep: 1e-06, CPU Time: 15.9445s
15/2/2018 14:52:56 - #Bodies: 2, Timestep: 1e-06, CPU Time: 16.3048s
15/2/2018 14:53:18 - #Bodies: 2, Timestep: 1e-05, CPU Time: 1.53283s
15/2/2018 14:53:21 - #Bodies: 2, Timestep: 5e-06, CPU Time: 4.31726s
15/2/2018 14:53:40 - #Bodies: 2, Timestep: 0.001, CPU Time: 1.22871s
15/2/2018 14:53:40 - #Bodies: 2, Timestep: 0.0005, CPU Time: 1.48222s
15/2/2018 14:53:41 - #Bodies: 2, Timestep: 0.00025, CPU Time: 2.18688s
15/2/2018 14:53:43 - #Bodies: 2, Timestep: 0.000125, CPU Time: 3.76135s
15/2/2018 14:53:43 - #Bodies: 2, Timestep: 6.25e-05, CPU Time: 4.10776s
15/2/2018 14:53:44 - #Bodies: 2, Timestep: 3.125e-05, CPU Time: 4.8016s
15/2/2018 14:53:45 - #Bodies: 2, Timestep: 1.5625e-05, CPU Time: 6.20639s
15/2/2018 14:53:48 - #Bodies: 2, Timestep: 7.8125e-06, CPU Time: 8.52659s
15/2/2018 14:53:52 - #Bodies: 2, Timestep: 3.90625e-06, CPU Time: 12.5275s
15/2/2018 14:53:57 - #Bodies: 2, Timestep: 1.95313e-06, CPU Time: 15.045s
15/2/2018 14:54:05 - #Bodies: 2, Timestep: 0.001, CPU Time: 1.26667s
15/2/2018 14:54:05 - #Bodies: 2, Timestep: 0.0005, CPU Time: 1.52997s
15/2/2018 14:54:06 - #Bodies: 2, Timestep: 0.00025, CPU Time: 2.20048s
