0.000000,9998
0.000000,9998
0.000000,9993
0.000000,19975
0.000000,9715
0.000000,9790
0.000000,9789
0.000000,9790
0.000000,9789
0.000000,8473
0.000000,8454
0.000000,8474
0.000000,8463
0.000000,8473
0.000000,8461
0.000000,8473
0.000000,8460
0.000000,13991
0.000000,13704
0.000000,13992
0.000000,13790
0.000000,14003
0.000000,13870
0.000000,9778
0.000000,9609
0.000000,9778
0.000000,9969
0.000000,9676
0.000000,8862
0.000000,8810
0.000000,9969
0.000000,9676
0.000000,8856
0.000000,8802
0.000000,8801
0.000000,9969
0.000000,9677
0.000000,8871
0.000000,8814
0.000000,8813
0.000000,9969
0.000000,9680
0.000000,8874
0.000000,8820
0.000000,9969
0.000000,9679
0.000000,8866
0.000000,8809
0.000000,9969
0.000000,9675
0.000000,8867
0.000000,8812
0.000000,9977
0.000000,9666
0.000000,8747
0.000000,8703
0.000000,9977
0.000000,9671
0.000000,8750
0.000000,8705
